Skill,Market Demand Score,Category
Python,95,Technical
SQL,90,Technical
Communication,88,Soft
Problem Solving,85,Soft
AWS,82,Technical
JavaScript,80,Technical
Leadership,78,Soft
React,75,Technical
Data Analysis,73,Technical
Project Management,72,Soft
Cloud Computing,70,Technical
Machine Learning,68,Technical
Teamwork,65,Soft
HTML,63,Technical
CSS,60,Technical
Docker,58,Technical
Kubernetes,55,Technical
Agile,53,Soft
Cybersecurity,52,Technical
Data Visualization,50,Technical
Excel,48,Technical
Customer Service,47,Soft
Git,45,Technical
Adaptability,43,Soft
Creativity,42,Soft
SEO,40,Technical
Time Management,38,Soft
Critical Thinking,37,Soft
Database Management,35,Technical
Content Writing,33,Technical
Presentation Skills,32,Soft
Negotiation,30,Soft
Event Planning,28,Technical
Legal Research,25,Technical
Healthcare Regulations,22,Technical
Supply Chain,20,Technical
